timestamp,key,f1_tariff,f2_kwh_day,f3_kwh_max_30min,f4_kwh_median_30min,f5_kwh_p90_30min,f6_kwh_stdev_30min,f7_evening_share,f8_night_share,f9_load_factor,f10_peak_half_hour_slot,f11_zero_half_hour_count
1350082800000,MAC000290,1,6.907,0.443,0.13,0.235,0.0893726374008,0.369914579412,0.114231938613,0.324821294206,38,0
1350082800000,MAC000292,1,6.431,0.724,0.105,0.227,0.120316854178,0.264811071373,0.07790390297,0.185054097606,25,0
1350082800000,MAC000293,1,6.3,0.23,0.117,0.207,0.0466482850703,0.37,0.212222222222,0.570652173913,35,0
1350082800000,MAC000298,1,2.215,0.104,0.044,0.068,0.0178698880608,0.239729119639,0.228893905192,0.443709935897,28,0
1350169200000,MAC000002,0,13.223,1.085,0.158,0.712,0.271771272518,0.54420328216,0.117295621266,0.253897849462,37,0
1350169200000,MAC000003,0,15.5469999,1.595,0.1725,0.659,0.34688075108,0.160095196244,0.356467481549,0.203069486677,22,0
1350169200000,MAC000004,0,1.862,0.316,0,0.174,0.0783825975407,0.408700322234,0.263157894737,0.122758438819,8,34
1350169200000,MAC000005,1,4.668,0.574,0.034,0.225,0.115356964101,0.514781491003,0.0805484147386,0.169425087108,14,0
1350169200000,MAC000006,0,2.587,0.2,0.043,0.105,0.0404357719019,0.352918438346,0.129107073831,0.269479166667,17,0
1350169200000,MAC000007,0,10.937,1.691,0.124,0.452,0.285735599636,0.557922647892,0.0695803236719,0.134745219791,36,0
1350169200000,MAC000008,0,24.492,1.335,0.3825,0.935,0.279426607836,0.331373509717,0.155152702923,0.382209737828,17,0
1350169200000,MAC000009,0,10.429,1.248,0.2035,0.316,0.199120225365,0.291398983603,0.0739284686931,0.174095219017,24,0
1350169200000,MAC000010,0,26.976,1.781,0.3905,1.12,0.394471904365,0.37600088968,0.102053677343,0.315553060079,24,0
1350169200000,MAC000012,0,1.139,0.055,0.02,0.054,0.0228908092759,0.244951712028,0.25636523266,0.431439393939,29,19
1350169200000,MAC000013,0,5.451,0.21,0.1135,0.189,0.0476763857734,0.360300862227,0.240689781691,0.540773809524,41,0
1350169200000,MAC000015,1,11.945,0.935,0.1425,0.648,0.225750968029,0.468480535789,0.124152365006,0.266154188948,38,0
1350169200000,MAC000016,0,0.225,0.059,0,0.009,0.00966772174558,0.413333333333,0.0133333333333,0.0794491525424,32,29
1350169200000,MAC000017,1,5.21,0.261,0.0915,0.191,0.0589727897471,0.406333973129,0.109404990403,0.415868454662,40,0
