LCLid,stdorToU,timestamp,KWH_day,KWH_max_30min,KWH_median_30min
MAC000333,Std,1350255600000,5.523,0.689,0.086
MAC000334,Std,1350255600000,4.354,0.227,0.0875
MAC000335,Std,1350255600000,8.239,0.899,0.139
MAC000337,Std,1350255600000,2.922,0.149,0.066
MAC000338,Std,1350255600000,7.695,0.511,0.062
MAC000340,Std,1350255600000,8.379,0.497,0.1295
MAC000341,Std,1350255600000,11.549,0.671,0.21
MAC000343,Std,1350255600000,5.353,0.456,0.0935
MAC000345,Std,1350255600000,11.255,0.862,0.185
MAC000346,Std,1350255600000,4.172,0.121,0.084
MAC000347,Std,1350255600000,5.182,0.377,0.081
MAC000348,Std,1350255600000,5.347,0.394,0.0915
MAC000349,Std,1350255600000,8.015,0.911,0.075
MAC000350,Std,1350255600000,8.337,1.102,0.132
MAC000351,Std,1350255600000,4.394,0.363,0.0735
MAC000353,Std,1350255600000,5.788,0.649,0.087
MAC000355,Std,1350255600000,14.643,1.839,0.1715
MAC000356,Std,1350255600000,11.682,1.452,0.0765
MAC000357,Std,1350255600000,12.062,1.161,0.1475
MAC000358,Std,1350255600000,46.7859998,2.7379999,0.8335
MAC000359,Std,1350255600000,12.085,1.161,0.155
MAC000360,Std,1350255600000,10.244,0.734,0.1605
MAC000361,Std,1350255600000,5.422,0.379,0.075
MAC000362,Std,1350255600000,3.209,0.202,0.055
MAC000363,Std,1350255600000,4.114,0.638,0.0465
MAC004268,Std,1350255600000,4.407,0.488,0.065
MAC004269,Std,1350255600000,10.345,0.817,0.226
MAC004271,Std,1350255600000,13.654,0.737,0.211
MAC004272,Std,1350255600000,6.145,0.348,0.118
MAC004273,Std,1350255600000,5.416,0.543,0.076
MAC004274,Std,1350255600000,3.849,0.258,0.05
MAC004275,Std,1350255600000,10.556,0.803,0.1705
MAC004276,Std,1350255600000,23.8789998,1.556,0.334
MAC004277,Std,1350255600000,7.901,0.583,0.1485
MAC004278,Std,1350255600000,6.536,0.917,0.0875
MAC004279,Std,1350255600000,7.362,0.913,0.053
MAC004280,Std,1350255600000,41.145,2.5780001,0.6725
MAC004281,Std,1350255600000,6.629,0.645,0.1135
MAC000002,Std,1350342000000,9.769,0.991,0.145
MAC000003,Std,1350342000000,13.555,1.498,0.188
MAC000004,Std,1350342000000,1.538,0.182,0
MAC000006,Std,1350342000000,3.24,0.214,0.0555
MAC000007,Std,1350342000000,9.4339999,1.2589999,0.1015
MAC000008,Std,1350342000000,22.5060001,1.1210001,0.451
MAC000009,Std,1350342000000,8.679,0.764,0.144
MAC000010,Std,1350342000000,28.817,1.86,0.4465
MAC000012,Std,1350342000000,1.14,0.053,0.0195
MAC000013,Std,1350342000000,6.209,0.282,0.118
MAC000016,Std,1350342000000,0.147,0.01,0
MAC000018,Std,1350342000000,8.527,0.513,0.133
MAC000019,Std,1350342000000,3.58,0.139,0.078
MAC000020,Std,1350342000000,5.15,0.226,0.1045
MAC000021,Std,1350342000000,19.756,0.853,0.3745
MAC000022,Std,1350342000000,10.046,0.47,0.183
MAC000023,Std,1350342000000,11.87,0.855,0.1545
MAC000024,Std,1350342000000,28.7500001,2.211,0.4095
MAC000025,Std,1350342000000,3.766,1.724,0.026
MAC000026,Std,1350342000000,18.575,1.779,0.212
MAC000027,Std,1350342000000,9.929,0.828,0.1915
MAC000028,Std,1350342000000,5.732,0.225,0.107
MAC000029,Std,1350342000000,4.899,0.706,0.0475
MAC000030,Std,1350342000000,7.361,0.356,0.136
MAC000032,Std,1350342000000,5.516,0.643,0.084
MAC000033,Std,1350342000000,6.63,0.46,0.1255
MAC000034,Std,1350342000000,5.895,0.329,0.1035
MAC000035,Std,1350342000000,16.6309999,1.2359999,0.2445
MAC000036,Std,1350342000000,2.318,0.28,0.0405
MAC000037,Std,1350342000000,0,0,0
MAC000038,Std,1350342000000,10.127,1.251,0.1575
MAC000039,Std,1350342000000,6.081,0.378,0.105
MAC000040,Std,1350342000000,15.182,0.631,0.277
MAC000041,Std,1350342000000,10.526,1.044,0.1245
MAC000042,Std,1350342000000,9.018,0.414,0.155
MAC000043,Std,1350342000000,2.93,0.141,0.0515
MAC000045,Std,1350342000000,16.3449999,1.653,0.2305
MAC000047,Std,1350342000000,5.608,0.28,0.1175
MAC000049,Std,1350342000000,25.9220002,2.4289999,0.27
MAC000050,Std,1350342000000,24.8479996,2.6129999,0.2675
MAC000053,Std,1350342000000,9.489,0.956,0.07
MAC000054,Std,1350342000000,7.88,0.404,0.1375
MAC000055,Std,1350342000000,10.741,0.518,0.185
MAC000056,Std,1350342000000,6.059,0.477,0.105
MAC000057,Std,1350342000000,10.601,0.414,0.196
MAC000058,Std,1350342000000,2.636,0.225,0.044
MAC000059,Std,1350342000000,17.523,1.682,0.3065
MAC000060,Std,1350342000000,5.57,0.284,0.0685
MAC000061,Std,1350342000000,5.706,0.283,0.069
MAC000062,Std,1350342000000,9.559,0.396,0.1735
MAC000063,Std,1350342000000,14.227,1.316,0.1485
MAC000066,Std,1350342000000,7.611,0.286,0.155
MAC000067,Std,1350342000000,7.562,0.386,0.163
MAC000068,Std,1350342000000,16.749,1.217,0.267
MAC000069,Std,1350342000000,9.24,0.712,0.1875
MAC000326,Std,1350342000000,15.0180001,1.281,0.109
MAC000327,Std,1350342000000,8.677,0.679,0.1525
MAC000329,Std,1350342000000,10.911,0.767,0.1785
MAC000330,Std,1350342000000,5.793,0.26,0.1165
MAC000331,Std,1350342000000,16.1779999,2.7939999,0.139
MAC000332,Std,1350342000000,7.398,0.438,0.1395
MAC000333,Std,1350342000000,3.924,0.227,0.0645
MAC000334,Std,1350342000000,5.758,0.601,0.0915
MAC000335,Std,1350342000000,8.562,0.708,0.138
MAC000337,Std,1350342000000,2.56,0.188,0.0565
MAC000338,Std,1350342000000,11.547,1.316,0.156
MAC000340,Std,1350342000000,7.735,0.586,0.121
MAC000341,Std,1350342000000,11.517,0.807,0.2195
MAC000343,Std,1350342000000,5.307,0.376,0.0945
MAC000345,Std,1350342000000,9.808,0.787,0.1815
MAC000346,Std,1350342000000,4.774,0.412,0.0865
MAC000347,Std,1350342000000,7.167,0.903,0.0925
MAC000348,Std,1350342000000,3.977,0.257,0.05
MAC000349,Std,1350342000000,5.215,0.488,0.0865
MAC000350,Std,1350342000000,9.996,1.094,0.175
MAC000351,Std,1350342000000,3.484,0.193,0.0545
MAC000353,Std,1350342000000,5.313,0.41,0.083
MAC000355,Std,1350342000000,5.632,0.219,0.112
MAC000356,Std,1350342000000,5.673,0.651,0.061
MAC000357,Std,1350342000000,10.028,1.073,0.0925
MAC000358,Std,1350342000000,48.2030005,3.1010001,0.723
MAC000359,Std,1350342000000,13.835,1.284,0.145
MAC000360,Std,1350342000000,9.1,0.68,0.108
MAC000361,Std,1350342000000,3.995,0.353,0.0485
MAC000362,Std,1350342000000,3.549,0.303,0.055
MAC000363,Std,1350342000000,3.364,0.525,0.046
MAC004268,Std,1350342000000,6.226,0.677,0.0825
MAC004269,Std,1350342000000,9.682,0.903,0.1405
MAC004271,Std,1350342000000,12.17,0.786,0.1815
MAC004272,Std,1350342000000,9.807,1.084,0.0965
MAC004273,Std,1350342000000,7.193,0.992,0.084
MAC004274,Std,1350342000000,4.558,0.307,0.0645
MAC004275,Std,1350342000000,10.664,0.784,0.1885
MAC004276,Std,1350342000000,20.8699999,1.5089999,0.3045
MAC004277,Std,1350342000000,7.799,0.565,0.143
MAC004278,Std,1350342000000,7.358,0.72,0.092
MAC004279,Std,1350342000000,7.984,0.715,0.1215
MAC004280,Std,1350342000000,29.848,1.459,0.513
MAC004281,Std,1350342000000,5.368,0.334,0.081
MAC000002,Std,1350428400000,10.885,0.784,0.148
MAC000003,Std,1350428400000,44.2670002,3.5280001,0.235
